image,width,height
https://www.e-rara.ch/zuz/i3f/v20/16258947,1910,2583
https://www.e-rara.ch/zuz/i3f/v20/16166068,2721,2703
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720921,2948,2605
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1720926,2986,2605
https://www.e-rara.ch/zuz/i3f/v20/16166073,2363,1955
https://www.e-rara.ch/zuz/i3f/v20/16166077,2442,1936
https://www.e-rara.ch/zuz/i3f/v20/16258953,2667,2828
https://www.e-rara.ch/zuz/i3f/v20/16166082,2470,2354
https://www.e-rara.ch/zuz/i3f/v20/16258957,2651,2833
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1716792,1857,1997
https://www.e-rara.ch/zuz/i3f/v20/17647994,4732,4734
https://www.e-rara.ch/zuz/i3f/v20/14756640,3781,4149
https://www.e-rara.ch/zuz/i3f/v20/17415899,4314,4394
https://www.e-rara.ch/zuz/i3f/v20/16259108,4510,4577
https://www.e-rara.ch/zuz/i3f/v20/17973786,4573,4669
https://www.e-rara.ch/zuz/i3f/v20/15555131,4354,4570
https://www.e-rara.ch/zuz/i3f/v20/17768162,3873,3926
https://www.e-rara.ch/zuz/i3f/v20/14392911,4443,4420
https://www.e-rara.ch/zuz/i3f/v20/16764640,4567,4579
https://www.e-rara.ch/zuz/i3f/v20/15554957,4479,4609
https://www.e-rara.ch/zuz/i3f/v20/15819736,3422,3497
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1966009,6307,6708
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1753014,5331,4551
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1753023,6877,5928
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1753028,7708,6352
https://www.e-rara.ch/zuz/i3f/v20/15819740,3441,3515
https://www.e-rara.ch/zuz/i3f/v20/15819744,3394,3515
https://www.e-rara.ch/zuz/i3f/v20/15819749,3431,3515
https://www.e-rara.ch/zuz/i3f/v20/15819754,3417,3515
https://www.e-rara.ch/zuz/i3f/v20/15819759,3417,3455
https://www.e-rara.ch/zuz/i3f/v20/18438115,2919,3310
https://www.e-rara.ch/zuz/i3f/v20/18807113,2815,2779
https://www.e-rara.ch/zuz/i3f/v20/19399936,2560,2631
https://www.e-rara.ch/zuz/i3f/v20/11136675,2118,2103
https://www.e-rara.ch/zuz/i3f/v20/17865829,2148,2372
https://www.e-rara.ch/zuz/i3f/v20/17865833,2158,2350
https://www.e-rara.ch/zuz/i3f/v20/15507969,4641,2874
https://www.e-rara.ch/zuz/i3f/v20/15959093,7551,6399
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932390,6780,5967
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932394,6489,6653
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2214118,7373,4907
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2214119,7367,4989
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1120570,6800,5917
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617709,5532,5046
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1119198,2783,2827
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932399,4234,4458
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1119203,3440,3796
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1119202,3440,3796
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932404,5920,5732
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932409,6572,6206
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932414,9239,7384
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932419,4498,3824
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932424,6359,6174
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932429,7721,7279
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932434,6465,5773
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932439,7107,6001
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932445,7508,7697
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1119214,3390,3511
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1119215,3556,3407
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932449,6302,6455
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1932454,5746,6225
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2208608,9066,7376
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1851135,3284,3644
https://www.e-rara.ch/zuz/i3f/v20/19094849,4484,3926
https://www.e-rara.ch/zuz/i3f/v20/15309607,5293,5181
https://www.e-rara.ch/zuz/i3f/v20/17589170,4638,4614
https://www.e-rara.ch/zuz/i3f/v20/18438123,4560,3792
https://www.e-rara.ch/zuz/i3f/v20/19580587,3660,2959
https://www.e-rara.ch/zuz/i3f/v20/15507979,5616,4414
https://www.e-rara.ch/zuz/i3f/v20/15507985,5662,4527
https://www.e-rara.ch/zuz/i3f/v20/15073351,6579,5273
https://www.e-rara.ch/zuz/i3f/v20/15507993,6615,5840
https://www.e-rara.ch/zuz/i3f/v20/15507998,6719,5982
https://www.e-rara.ch/zuz/i3f/v20/11136685,10218,8452
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863474,11078,9521
https://www.e-rara.ch/zuz/i3f/v20/15508034,3720,3904
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1029750,3937,3506
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1029755,3922,3430
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863527,5560,4774
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863532,5542,4583
https://www.e-rara.ch/zuz/i3f/v20/17563655,4270,4461
https://www.e-rara.ch/zuz/i3f/v20/17415877,4486,4767
https://www.e-rara.ch/zuz/i3f/v20/17415881,3117,3314
https://www.e-rara.ch/zuz/i3f/v20/17415886,2997,2938
https://www.e-rara.ch/zuz/i3f/v20/17415890,3184,3095
https://www.e-rara.ch/zuz/i3f/v20/15508096,7983,7099
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2804381,5596,4465
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863537,8427,6739
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863542,7127,5988
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863547,5747,5576
https://www.e-rara.ch/zuz/i3f/v20/15508101,8255,7741
https://www.e-rara.ch/zuz/i3f/v20/15508116,8125,6579
https://www.e-rara.ch/zuz/i3f/v20/11136728,3514,3640
https://www.e-rara.ch/zuz/i3f/v20/16392293,4256,4433
https://www.e-rara.ch/zuz/i3f/v20/16392297,3717,3879
https://www.e-rara.ch/zuz/i3f/v20/16392303,3264,3250
https://www.e-rara.ch/zuz/i3f/v20/11136737,2438,2084
https://www.e-rara.ch/zuz/i3f/v20/16392307,5140,4892
https://www.e-rara.ch/zuz/i3f/v20/16392312,1811,1774
https://www.e-rara.ch/zuz/i3f/v20/16392317,1811,1727
https://www.e-rara.ch/zuz/i3f/v20/16392327,1936,2438
https://www.e-rara.ch/zuz/i3f/v20/16392338,2243,1769
https://www.e-rara.ch/zuz/i3f/v20/15508127,4854,4404
https://www.e-rara.ch/zuz/i3f/v20/18875518,6930,5547
https://www.e-rara.ch/zuz/i3f/v20/15508132,3003,2459
https://www.e-rara.ch/zuz/i3f/v20/15508142,3003,2296
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1107871,6131,4856
https://www.e-rara.ch/zuz/i3f/v20/15508152,8416,7293
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2176855,7794,5214
https://www.e-rara.ch/zuz/i3f/v20/14561159,3137,3221
https://www.e-rara.ch/zuz/i3f/v20/14561164,4521,4885
https://www.e-rara.ch/zuz/i3f/v20/14561175,3204,3064
https://www.e-rara.ch/zuz/i3f/v20/18807117,5490,4767
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1107876,8260,6082
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429764,2994,2771
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429768,2994,2917
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429773,2994,2951
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429778,2994,2308
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429783,3009,2874
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429788,2994,2879
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429793,2994,2786
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429798,2994,2711
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429804,2994,2890
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1429808,2994,2808
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1431675,3409,4267
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1658529,5693,4607
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863562,5998,5543
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863567,9790,7725
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863573,10092,7118
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1614526,6804,6578
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863578,5548,5218
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863582,6504,7773
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863588,6850,4943
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863593,4291,5888
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863598,9642,7275
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863602,11811,7064
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1617723,5372,4711
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863609,7022,5099
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863613,11020,7059
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1881246,6700,5971
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863621,8277,5423
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863625,8559,6377
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863630,9296,7456
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863636,4596,5158
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863640,8258,6516
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863645,9888,8170
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863650,6627,5133
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1077720,4808,3839
https://www.e-rara.ch/zuz/i3f/v20/17415894,7913,8200
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863656,10622,7891
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863661,10711,8031
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1614530,4558,4090
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863666,7168,5936
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863670,6990,5754
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863675,10302,7520
https://www.e-rara.ch/zuz/i3f/v20/15508157,4664,4120
https://www.e-rara.ch/zuz/i3f/v20/11148689,2464,2744
https://www.e-rara.ch/zuz/i3f/v20/15508162,6501,5621
https://www.e-rara.ch/zuz/i3f/v20/15072814,8146,6776
https://www.e-rara.ch/zuz/i3f/v20/15072818,17687,14779
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679759,4991,4740
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679744,4959,4554
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679749,5171,4760
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679774,4653,4591
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679769,5434,4836
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679724,4620,4564
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679734,4759,4941
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679739,3978,3941
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679764,4827,4227
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679729,4979,4442
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679709,3626,3577
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679714,4672,4881
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679754,5123,4557
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679705,4353,4330
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1679719,4599,4537
https://www.e-rara.ch/zuz/i3f/v20/15508169,15530,13115
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1640903,7933,6118
https://www.e-manuscripta.ch/zuzneb/i3f/v20/1640908,3055,3014
https://www.e-manuscripta.ch/zuzneb/i3f/v20/2863681,9477,8000
